Product Name,Quantity Sold,Total Sales,
Brow Harmony Pencil & Gel,2,38.50,
Brow Pencil,1,13.48,
Face & Lip Contour Set,1,33.88,
Faux Filter Foundation,6,207.90,
Jawbreaker Palette,1,55.40,
Kind Words Lipstick,1,18.10,
Magic Star Concealer,8,166.32,
Makeup Brush Set,2,76.98,
Perfect Strokes Mascara,7,123.97,
Power Bullet Matte Lipstick,1,20.79,
Superhero Mascara,3,54.15,
They're Real! Magnet Mascara,6,147.84,
Velour Liquid Lipstick,2,27.42,
Your Lips But Better Waterproof Lip Liner Stain,1,16.94,
